	I	O	P	pmid	y
2393	The outcome of STOP-Hypertension-2 in relation to the 1999 WHO/ISH hypertension guidelines..	The 1999 hypertension management guidelines issued by the World Health Organization and the International Society of Hypertension emphasize the importance of blood pressure reduction in the prevention of cardiovascular events.	The outcome of STOP-Hypertension-2 in relation to the 1999 WHO/ISH hypertension guidelines..	11055468	-1
2394	Effects of an ACE inhibitor and a calcium channel blocker on cardiovascular autonomic nervous system and carotid distensibility in patients with mild to moderate hypertension.. We investigated the relationship between cardiovascular autonomic nervous system function and carotid arterial distensibility during treatment with an angiotensin converting enzyme inhibitor (derapril) or a calcium channel blocker (manidipine) for hypertension.	Although derapril and manidipine decreased blood pressure and left ventricular mass index to the same extent, the former improved heart rate variability, baroreceptor sensitivity (5.0 +/- 1.9 --> 5.6 +/- 2.0 msec/mm Hg), and carotid arterial distensibility (2.1 +/- 0.8 --> 2.5 +/- 1.0 %kPa), but the latter did not improve them at all.	Effects of an ACE inhibitor and a calcium channel blocker on cardiovascular autonomic nervous system and carotid distensibility in patients with mild to moderate hypertension.. We investigated the relationship between cardiovascular autonomic nervous system function and carotid arterial distensibility during treatment with an angiotensin converting enzyme inhibitor (derapril) or a calcium channel blocker (manidipine) for hypertension.	9657627	-1
2395	Inhibition of the renin-angiotensin system after acute myocardial infarction--treat first, select later?.	Inhibition of the renin-angiotensin system after acute myocardial infarction--treat first, select later?.	Inhibition of the renin-angiotensin system after acute myocardial infarction--treat first, select later?.	8977366	-1
2396	Information about occurrence of atrial fibrillation/-flutter during hospitalization was prospectively collected for the following three periods: day 1-2, day 3-4 and from day 5 until discharge.	Information about occurrence of atrial fibrillation/-flutter during hospitalization was prospectively collected for the following three periods: day 1-2, day 3-4 and from day 5 until discharge.	History of acute myocardial infarction and/or angina pectoris was similar in patients with and without atrial fibrillation/-flutter, whereas significantly more patients with atrial fibrillation/-flutter had a history of hypertension, congestive heart failure, diabetes mellitus, pulmonary disease and stroke.	10329066	-1
2397	AHA/ACC Scientific Statement: AHA/ACC guidelines for preventing heart attack and death in patients with atherosclerotic cardiovascular disease: 2001 update: A statement for healthcare professionals from the American Heart Association and the American College of Cardiology..	AHA/ACC Scientific Statement: AHA/ACC guidelines for preventing heart attack and death in patients with atherosclerotic cardiovascular disease: 2001 update: A statement for healthcare professionals from the American Heart Association and the American College of Cardiology..	AHA/ACC Scientific Statement: AHA/ACC guidelines for preventing heart attack and death in patients with atherosclerotic cardiovascular disease: 2001 update: A statement for healthcare professionals from the American Heart Association and the American College of Cardiology..	11571256	-1
2398	An initial single dose of 1 mg of cilazapril given at the end of the HD session produced a marked improvement in the interdialysis thirst scores and a simultaneous reduction in plasma angiotensin II (AII) concentration due to the inhibition of ACE activity.	Effect of cilazapril on hyperdipsia in hemodialyzed patients.. To investigate whether angiotensin-converting enzyme inhibitor (ACE-I) potentially alleviates hyperdipsia, the effect of cilazapril on dialysis-associated excessive thirst was studied by evaluating various dipsogenic parameters in patients undergoing chronic hemodialysis (HD) who manifest an excessive interdialysis body weight gain of more than 5%, and show simultaneous severe-to-moderate hyperdipsia.	Effect of cilazapril on hyperdipsia in hemodialyzed patients.. To investigate whether angiotensin-converting enzyme inhibitor (ACE-I) potentially alleviates hyperdipsia, the effect of cilazapril on dialysis-associated excessive thirst was studied by evaluating various dipsogenic parameters in patients undergoing chronic hemodialysis (HD) who manifest an excessive interdialysis body weight gain of more than 5%, and show simultaneous severe-to-moderate hyperdipsia.	8718563	-1
2399	We report three patients in whom ACEI-induced angioedema began with a late onset of 12-33 months, and who had an irregular, unpredictable course under ACEI therapy.	Angiotensin-converting enzyme inhibitor-induced angioedema: late onset, irregular course, and potential role of triggers.. Angioedema is a rare but potentially life-threatening adverse effect of angiotensin-converting enzyme inhibitors (ACEI) which usually occurs within the first weeks of therapy.	We report three patients in whom ACEI-induced angioedema began with a late onset of 12-33 months, and who had an irregular, unpredictable course under ACEI therapy.	9188926	-1
2400	A 7-day-infusion of PGE1 (16.5 +/- 5 ng/kg/min, range 10 to 20 ng/kg/min, group A n = 10), dobutamine (4.5 +/- 1 micrograms/kg/min, range 2.5 to 5 micrograms/kg/min, group B n = 10) or placebo (saline, group C n = 10) was administered via a central venous access line after stepwise titration until intolerable side effects developed with PGE1 or a 20% increase in cardiac index occurred with dobutamine, which was continued on this dose throughout while PGE1 was maintained on 50% peak dose.	Renal plasma flow (by paraaminohippurate clearance) and glomerular filtration rate (by iothalamate clearance) was measured prior to and during the infusions (after 12 hours and after 7 days).	Excessive neurohumoral activity remains a major burden to the circulation of patients with advanced heart failure.	10506854	-1
2401	13,634 patients entering 650 Chinese hospitals up to 36 h after the onset of suspected acute myocardial infarction (MI) were randomised between one month of oral captopril (6.25 mg initial dose, 12.5 mg 2 h later, and then 12.5 mg three times daily) or matching placebo.	Oral captopril versus placebo among 13,634 patients with suspected acute myocardial infarction: interim report from the Chinese Cardiac Study (CCS-1).	Oral captopril versus placebo among 13,634 patients with suspected acute myocardial infarction: interim report from the Chinese Cardiac Study (CCS-1).	7885123	1
2402	Thereafter, all antihypertensive drugs except beta-blockers were withdrawn and either felodipine (5 to 20 mg; n = 13) or ramipril (2.5 to 10 mg; n = 15) was added in a double blind, randomized fashion.	The effect of intensified blood pressure (BP) control with a reduction of the diastolic BP to < or = 85 mm Hg on renal function and urinary albumin excretion (UAE) was studied in 28 men with primary hypertension (aged 62 to 72 years) treated for 13 +/- 5 years with beta-blockade, diuretics, or hydralazine.	The effect of intensified blood pressure (BP) control with a reduction of the diastolic BP to < or = 85 mm Hg on renal function and urinary albumin excretion (UAE) was studied in 28 men with primary hypertension (aged 62 to 72 years) treated for 13 +/- 5 years with beta-blockade, diuretics, or hydralazine.	7755939	-1
